Estos son los datos del conjunto
0 {'validez': 1, 'tag': '0x000', 'data': [0, '34', 0, 0, 0, 0, 0, 0], 'bit_sucio': 1}
1 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
2 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
3 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
4 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
5 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
6 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
7 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
8 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
9 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
10 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
11 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
12 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
13 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
14 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
15 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
Estos son los datos del conjunto
0 {'validez': 1, 'tag': '0x006', 'data': [0, 0, '78', 0, 0, 0, 0, 0], 'bit_sucio': 1}
1 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
2 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
3 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
4 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
5 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
6 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
7 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
8 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
9 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
10 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
11 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
12 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
13 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
14 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
15 {'validez': 0, 'tag': '0x000', 'data': [], 'bit_sucio': 0}
